id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
1432197,3092,NSE_FO:BANKNIFTY18MAR2134500CE,2021-03-18 12:39:00,1,25,145.05,2021-03-18 13:17:00,0,25,23.90,3028.75,83.52,149818.75,87.61,320818.75,-0.19
1432196,3092,NSE_FO:BANKNIFTY18MAR2134600PE,2021-03-18 10:11:00,1,25,141.90,2021-03-18 12:39:00,0,25,165.75,-596.25,-16.81,146790.00,85.84,317790.00,-1.13
1432195,3092,NSE_FO:BANKNIFTY18MAR2134600CE,2021-03-18 10:11:00,1,25,182.65,2021-03-18 12:39:00,0,25,95.20,2186.25,47.88,147386.25,86.19,318386.25,-0.95
1432194,3092,NSE_FO:BANKNIFTY18MAR2134600PE,2021-03-18 09:25:00,1,25,187.85,2021-03-18 10:11:00,0,25,141.90,1148.75,24.46,145200.00,84.91,316200.00,-1.63
1432193,3092,NSE_FO:BANKNIFTY18MAR2134600CE,2021-03-18 09:25:00,1,25,222.85,2021-03-18 10:11:00,0,25,182.65,1005.00,18.04,144051.25,84.24,315051.25,-1.98
1432192,3092,NSE_FO:BANKNIFTY18MAR2134700PE,2021-03-17 13:20:00,1,25,266.00,2021-03-17 15:09:00,0,25,561.25,-7381.25,-111.00,143046.25,83.65,314046.25,-2.30
1432191,3092,NSE_FO:BANKNIFTY18MAR2134700CE,2021-03-17 13:20:00,1,25,326.70,2021-03-17 15:09:00,0,25,149.70,4425.00,54.18,150427.50,87.97,321427.50,0.00
1432190,3092,NSE_FO:BANKNIFTY18MAR2134800PE,2021-03-17 09:25:00,1,25,377.35,2021-03-17 13:20:00,0,25,316.20,1528.75,16.21,146002.50,85.38,317002.50,-0.88
1432189,3092,NSE_FO:BANKNIFTY18MAR2134800CE,2021-03-17 09:25:00,1,25,367.70,2021-03-17 13:20:00,0,25,277.60,2252.50,24.50,144473.75,84.49,315473.75,-1.36
1432188,3092,NSE_FO:BANKNIFTY18MAR2135100PE,2021-03-16 09:25:00,1,25,443.00,2021-03-16 15:09:00,0,25,546.00,-2575.00,-23.25,142221.25,83.17,313221.25,-2.06
1432187,3092,NSE_FO:BANKNIFTY18MAR2135100CE,2021-03-16 09:25:00,1,25,436.60,2021-03-16 15:09:00,0,25,261.45,4378.75,40.12,144796.25,84.68,315796.25,-1.26
1432186,3092,NSE_FO:BANKNIFTY18MAR2135200PE,2021-03-15 09:25:00,1,25,574.10,2021-03-15 15:09:00,0,25,417.60,3912.50,27.26,140417.50,82.12,311417.50,-2.63
1432185,3092,NSE_FO:BANKNIFTY18MAR2135200CE,2021-03-15 09:25:00,1,25,542.05,2021-03-15 15:09:00,0,25,479.70,1558.75,11.50,136505.00,79.83,307505.00,-3.85
1432184,3092,NSE_FO:BANKNIFTY18MAR2136400PE,2021-03-12 09:25:00,1,25,556.50,2021-03-12 15:09:00,0,25,1111.35,-13871.25,-99.70,134946.25,78.92,305946.25,-4.34
1432183,3092,NSE_FO:BANKNIFTY18MAR2136400CE,2021-03-12 09:25:00,1,25,584.85,2021-03-12 15:09:00,0,25,235.05,8745.00,59.81,148817.50,87.03,319817.50,0.00
1432182,3092,NSE_FO:BANKNIFTY10MAR2135900PE,2021-03-10 15:05:00,1,25,19.05,2021-03-10 15:09:00,0,25,4.60,361.25,75.85,140072.50,81.91,311072.50,-0.01
1432181,3092,NSE_FO:BANKNIFTY10MAR2135900CE,2021-03-10 15:05:00,1,25,32.30,2021-03-10 15:09:00,0,25,48.60,-407.50,-50.46,139711.25,81.70,310711.25,-0.13
1432180,3092,NSE_FO:BANKNIFTY10MAR2135900PE,2021-03-10 15:01:00,1,25,26.60,2021-03-10 15:05:00,0,25,19.05,188.75,28.38,140118.75,81.94,311118.75,0.00
1432179,3092,NSE_FO:BANKNIFTY10MAR2135900CE,2021-03-10 15:01:00,1,25,41.65,2021-03-10 15:05:00,0,25,32.30,233.75,22.45,139930.00,81.83,310930.00,0.00
1432178,3092,NSE_FO:BANKNIFTY10MAR2135900PE,2021-03-10 14:59:00,1,25,53.90,2021-03-10 15:01:00,0,25,26.60,682.50,50.65,139696.25,81.69,310696.25,0.00
